Species,Environment,Fraction,Biomass_rate_h-1,Max_growth_h-1
Sinorhizobium fredii,Bulk soil,0.0,0.0,0.0
Sinorhizobium fredii,Bulk soil,0.1,0.0,0.0
Sinorhizobium fredii,Bulk soil,0.2,0.0,0.0
Sinorhizobium fredii,Bulk soil,0.3,0.0,0.0
Sinorhizobium fredii,Bulk soil,0.4,0.0,0.0
Sinorhizobium fredii,Bulk soil,0.5,0.0,0.0
Sinorhizobium fredii,Bulk soil,0.6,0.0,0.0
Sinorhizobium fredii,Bulk soil,0.7,0.0,0.0
Sinorhizobium fredii,Bulk soil,0.8,0.0,0.0
Sinorhizobium fredii,Bulk soil,0.9,0.0,0.0
Sinorhizobium fredii,Rhizosphere,0.0,0.0,105.49561009236805
Sinorhizobium fredii,Rhizosphere,0.1,10.549561009236806,105.49561009236805
Sinorhizobium fredii,Rhizosphere,0.2,21.09912201847361,105.49561009236805
Sinorhizobium fredii,Rhizosphere,0.3,31.648683027710415,105.49561009236805
Sinorhizobium fredii,Rhizosphere,0.4,42.19824403694722,105.49561009236805
Sinorhizobium fredii,Rhizosphere,0.5,52.74780504618403,105.49561009236805
Sinorhizobium fredii,Rhizosphere,0.6,63.29736605542083,105.49561009236805
Sinorhizobium fredii,Rhizosphere,0.7,73.84692706465763,105.49561009236805
Sinorhizobium fredii,Rhizosphere,0.8,84.39648807389445,105.49561009236805
Sinorhizobium fredii,Rhizosphere,0.9,94.94604908313126,105.49561009236805
Sinorhizobium fredii,Nodule,0.0,0.0,0.48295511813379766
Sinorhizobium fredii,Nodule,0.1,0.048295511813379766,0.48295511813379766
Sinorhizobium fredii,Nodule,0.2,0.09659102362675953,0.48295511813379766
Sinorhizobium fredii,Nodule,0.3,0.1448865354401393,0.48295511813379766
Sinorhizobium fredii,Nodule,0.4,0.19318204725351906,0.48295511813379766
Sinorhizobium fredii,Nodule,0.5,0.24147755906689883,0.48295511813379766
Sinorhizobium fredii,Nodule,0.6,0.2897730708802786,0.48295511813379766
Sinorhizobium fredii,Nodule,0.7,0.33806858269365836,0.48295511813379766
Sinorhizobium fredii,Nodule,0.8,0.3863640945070381,0.48295511813379766
Sinorhizobium fredii,Nodule,0.9,0.4346596063204179,0.48295511813379766
